"Theta [deg]","dB(RealizedGainTotal) [] - Freq='3.2GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal)_1 [] - Freq='3.2GHz' Theta='90deg'"
-41,-2.41876100581779,
-40,-2.60462390436175,
-39,-2.7971342780771,
-38,-2.99668009173816,
-37,-3.20368677947406,
-36,-3.4186180709669,
-35,-3.64197604184371,
-34,-3.87430064786399,
-33,-4.11616904622847,
-32,-4.36819503694654,
-31,-4.63102897552065,
-30,-4.90535851919825,
-29,-5.19191057748051,
-28,-5.4914548487807,
-27,-5.80480934484698,
-26,-6.13284833907894,
-25,-6.47651323130988,
-24,-6.83682690865933,
-23,-7.21491231090852,
-22,-7.61201609493669,
-21,-8.02953855810772,
-20,-8.46907135749081,
-19,-8.93244509897562,
-18,-9.42178964174972,
-17,-9.9396110841157,
-16,-10.4888910476815,
-15,-11.0732163508393,
-14,-11.6969509402322,
-13,-12.3654678411943,
-12,-13.0854682955868,
-11,-13.865430663328,
-10,-14.7162576030026,
-9,-15.6522349911441,
-8,-16.6924961456743,
-7,-17.8633309825073,
-6,-19.2019468367317,
-5,-20.7627436791279,
-4,-22.62764705403,
-3,-24.9199286630749,
-2,-27.7914772771679,
-1,-31.0826031651111,
0,-32.4692983776132,2.3401406947043
1,-29.9075704916647,2.33542896797094
2,-26.6861556860358,2.32919741835015
3,-24.0470845386755,2.32152757295336
4,-21.9344242221196,2.31254841462275
5,-20.1986365082273,2.30243500398394
6,-18.7329150774138,2.2914062292371
7,-17.4668233959274,2.27972167091667
8,-16.3531171434049,2.267677572488
9,-15.3590681803799,2.25560191380355
10,-14.4612660191298,2.24384859393612
11,-13.6424816001008,2.23279074358824
12,-12.8897204799136,2.22281320596907
13,-12.192974597388,2.2143042494325
14,-11.5443966173819,2.20764660571717
15,-10.9377379753721,2.20320796427819
16,-10.3679564358653,2.20133109519382
17,-9.83093563929151,2.2023238187565
18,-9.32328049766652,2.20644908627775
19,-8.84216513566778,2.21391547985218
20,-8.38521798934091,2.22486847385306
21,-7.95043367910946,2.23938282224469
22,-7.53610451062878,2.25745643800449
23,-7.14076659421823,2.2790061096841
24,-6.7631570110324,2.30386535296037
25,-6.40217943689622,2.33178462219084
26,-6.05687631639603,2.36243401185853
27,-5.72640615864815,2.39540846676203
28,-5.41002486632344,2.43023540166154
29,-5.1070702537432,2.46638451589469
30,-4.81694908724562,2.50327948617844
31,-4.53912611173406,2.54031113985005
32,-4.27311462564263,2.57685165695751
33,-4.01846824280334,2.61226932536326
34,-3.77477354141456,2.64594337745764
35,-3.54164335304081,2.67727846633396
36,-3.31871049237147,2.70571838740564
37,-3.10562177418742,2.73075871145671
38,-2.90203220950564,2.75195806001105
39,-2.70759931920999,2.76894781754328
40,-2.52197755089905,2.78144013275628
41,-2.34481283277258,2.78923411000055
42,-2.17573734611453,2.79222013079034
43,-2.01436464372959,2.79038227479148
44,-1.86028528347427,2.78379883143856
45,-1.7130631812616,2.77264091023184
46,-1.57223291370523,2.75716917301638
47,-1.43729821371519,2.73772872847892
48,-1.30773189955923,2.71474225069264
49,-1.18297745600233,2.68870141204584
50,-1.06245244249981,2.66015675747061
51,-0.945553836469357,2.62970619134792
52,-0.831665329508668,2.59798229907296
53,-0.720166483522395,2.56563877874832
54,-0.610443527472151,2.53333631021178
